year,checkpoint,calendar_month,simulation_month,promotion,roster,target,cap,cash,runway,stability,free_agents,world_contracted
2046,December,December,252,Absolute Championship Akhmat,85,144,168,8944589,3456000,30,1017,767
2046,December,December,252,BAMMA,65,144,168,3946389,3456000,28,1017,767
2046,December,December,252,BRAVE Combat Federation,64,144,168,6314456,3456000,30,1017,767
2046,December,December,252,Cage Warriors,65,160,184,2692932,3840000,26,1017,767
2046,December,December,252,KSW,53,160,184,2192561,3840000,26,1017,767
2046,December,December,252,Legacy Fighting Alliance,64,144,168,7056846,3456000,30,1017,767
2046,December,December,252,ONE Championship,54,200,224,2687991,4800000,31,1017,767
2046,December,December,252,Oktagon MMA,71,160,184,3875259,3840000,27,1017,767
2046,December,December,252,Professional Fighters League,104,200,224,10057824,4800000,44,1017,767
2046,December,December,252,RIZIN Fighting Federation,54,176,200,5387271,4224000,40,1017,767
2046,December,December,252,Ultimate Fighting Championship,88,280,304,8456031,6720000,29,1017,767
2047,July,July,259,Absolute Championship Akhmat,97,144,168,16062575,3456000,34,642,926
2047,July,July,259,BAMMA,78,144,168,5540808,3456000,29,642,926
2047,July,July,259,BRAVE Combat Federation,83,144,168,16411946,3456000,34,642,926
2047,July,July,259,Cage Warriors,91,160,184,5270791,3840000,30,642,926
2047,July,July,259,KSW,35,160,184,3021911,3840000,26,642,926
2047,July,July,259,Legacy Fighting Alliance,81,144,168,12795979,3456000,33,642,926
2047,July,July,259,ONE Championship,71,200,224,11724370,4800000,37,642,926
2047,July,July,259,Oktagon MMA,87,160,184,13041774,3840000,31,642,926
2047,July,July,259,Professional Fighters League,104,200,224,12621724,4800000,45,642,926
2047,July,July,259,RIZIN Fighting Federation,83,176,200,20751779,4224000,46,642,926
2047,July,July,259,Ultimate Fighting Championship,116,280,304,16441390,6720000,32,642,926
2047,December,December,264,Absolute Championship Akhmat,106,144,168,21072121,3456000,37,382,1102
2047,December,December,264,BAMMA,89,144,168,6913847,3456000,31,382,1102
2047,December,December,264,BRAVE Combat Federation,96,144,168,20887320,3456000,38,382,1102
2047,December,December,264,Cage Warriors,102,160,184,7449994,3840000,33,382,1102
2047,December,December,264,KSW,55,160,184,2707451,3840000,27,382,1102
2047,December,December,264,Legacy Fighting Alliance,92,144,168,10770157,3456000,32,382,1102
2047,December,December,264,ONE Championship,98,200,224,13533279,4800000,40,382,1102
2047,December,December,264,Oktagon MMA,102,160,184,13555466,3840000,32,382,1102
2047,December,December,264,Professional Fighters League,118,200,224,19005166,4800000,48,382,1102
2047,December,December,264,RIZIN Fighting Federation,104,176,200,20228103,4224000,47,382,1102
2047,December,December,264,Ultimate Fighting Championship,140,280,304,24036182,6720000,34,382,1102
2048,July,July,271,Absolute Championship Akhmat,114,144,168,25500470,3456000,41,382,1337
2048,July,July,271,BAMMA,105,144,168,9852577,3456000,33,382,1337
2048,July,July,271,BRAVE Combat Federation,111,144,168,33090845,3456000,45,382,1337
2048,July,July,271,Cage Warriors,117,160,184,11723440,3840000,37,382,1337
2048,July,July,271,KSW,92,160,184,7019461,3840000,30,382,1337
2048,July,July,271,Legacy Fighting Alliance,108,144,168,15880449,3456000,37,382,1337
2048,July,July,271,ONE Championship,128,200,224,17771139,4800000,42,382,1337
2048,July,July,271,Oktagon MMA,118,160,184,17848577,3840000,34,382,1337
2048,July,July,271,Professional Fighters League,139,200,224,30282527,4800000,52,382,1337
2048,July,July,271,RIZIN Fighting Federation,126,176,200,29110423,4224000,51,382,1337
2048,July,July,271,Ultimate Fighting Championship,179,280,304,36115685,6720000,37,382,1337
2048,December,December,276,Absolute Championship Akhmat,121,144,168,26148872,3456000,42,390,1472
2048,December,December,276,BAMMA,112,144,168,10391280,3456000,34,390,1472
2048,December,December,276,BRAVE Combat Federation,120,144,168,33398721,3456000,47,390,1472
2048,December,December,276,Cage Warriors,127,160,184,17031433,3840000,41,390,1472
2048,December,December,276,KSW,109,160,184,6668609,3840000,30,390,1472
2048,December,December,276,Legacy Fighting Alliance,115,144,168,19611657,3456000,42,390,1472
2048,December,December,276,ONE Championship,147,200,224,24213180,4800000,45,390,1472
2048,December,December,276,Oktagon MMA,126,160,184,23816974,3840000,36,390,1472
2048,December,December,276,Professional Fighters League,155,200,224,37223898,4800000,55,390,1472
2048,December,December,276,RIZIN Fighting Federation,137,176,200,33166017,4224000,53,390,1472
2048,December,December,276,Ultimate Fighting Championship,203,280,304,52837692,6720000,41,390,1472
2049,July,July,283,Absolute Championship Akhmat,125,144,168,27652543,3456000,44,400,1601
