"Company","Feeder","Roster","Male","Female","ThinDivisions","Cash","Reputation","Stability","ScheduledEvents","Champions"
"Absolute Championship Akhmat","False","146","115","31","8","3600000","66","62","1","16"
"African MMA Championship","True","64","40","24","16","0","24","70","1","0"
"Asia Rising Championship","True","64","40","24","16","0","24","70","1","0"
"BAMMA","False","109","82","27","7","2000000","38","52","0","16"
"BRAVE Combat Federation","False","148","117","31","7","3100000","64","60","1","16"
"Brazilian Combat Circuit","True","64","40","24","16","0","24","70","1","0"
"Cage Warriors","False","165","140","25","8","2500000","66","54","1","16"
"Canadian Fight Alliance","True","64","40","24","16","0","24","70","1","0"
"European Challenge MMA","True","64","40","24","16","0","24","70","1","0"
"Japan Fight Circuit","True","64","40","24","16","0","24","70","1","0"
"KSW","False","165","138","27","8","5000000","70","70","1","16"
"Latin American MMA League","True","64","40","24","16","0","24","70","1","0"
"Legacy Fighting Alliance","False","148","122","26","8","1800000","62","56","1","16"
"North American Fighting League","True","64","40","24","16","0","24","70","1","0"
"Oceania Combat League","True","64","40","24","16","0","24","70","1","0"
"Oktagon MMA","False","166","137","29","8","4800000","70","61","1","16"
"ONE Championship","False","205","166","39","6","9000000","78","69","1","16"
"Professional Fighters League","False","200","161","39","5","8500000","76","71","1","16"
"RIZIN Fighting Federation","False","178","150","28","8","6000000","72","63","1","16"
"UK Regional MMA","True","64","40","24","16","0","24","70","1","0"
"Ultimate Fighting Championship","False","280","231","49","5","30000000","96","95","1","16"
